id,topic,difficulty,question,expected_answer,expected_citations,expected_law_numbers,expected_articles,expected_keywords
Q01,PKWT,medium,"Jika pekerja PKWT bekerja selama 6 bulan lalu kontraknya berakhir sesuai jangka waktu, hak kompensasi apa yang perlu diberikan pengusaha dan bagaimana rumus umumnya?","Pekerja PKWT berhak memperoleh uang kompensasi saat hubungan kerja berakhir karena jangka waktu selesai. Untuk masa kerja 12 bulan secara terus menerus kompensasinya 1 bulan upah. Untuk masa kerja kurang dari 12 bulan atau lebih dari 12 bulan, nilainya dihitung proporsional berdasarkan masa kerja dibagi 12 dikali 1 bulan upah. Jadi masa kerja 6 bulan dihitung 6 per 12 dikali 1 bulan upah.",PP Nomor 35 Tahun 2021 Pasal 15 dan Pasal 16,PP 35/2021,Pasal 15; Pasal 16,PKWT; uang kompensasi; berakhir; 1 bulan upah; proporsional; masa kerja dibagi 12
Q02,PKWT,medium,"Apakah masa percobaan boleh diterapkan kepada pekerja PKWT, dan apa akibat hukumnya bila tetap dicantumkan?","Masa percobaan tidak boleh disyaratkan dalam PKWT. Jika masa percobaan tetap dicantumkan, masa percobaan tersebut batal demi hukum dan masa kerja pekerja tetap dihitung.",PP Nomor 35 Tahun 2021 Pasal 12,PP 35/2021,Pasal 12,PKWT; masa percobaan; tidak boleh; batal demi hukum; masa kerja tetap dihitung
Q03,PKWT,medium,"Untuk pekerjaan yang diperkirakan selesai dalam waktu tertentu, berapa batas maksimal jangka waktu PKWT beserta perpanjangannya?",PKWT berdasarkan jangka waktu untuk pekerjaan yang diperkirakan selesai dalam waktu tertentu dapat dibuat paling lama 5 tahun termasuk perpanjangannya.,PP Nomor 35 Tahun 2021 Pasal 8,PP 35/2021,Pasal 8,PKWT; jangka waktu; paling lama 5 tahun; perpanjangan
Q04,PKWT harian,medium,Pekerja harian lepas bekerja 23 hari dalam sebulan selama 3 bulan berturut-turut. Bagaimana status hubungan kerjanya menurut aturan PKWT harian?,"PKWT harian hanya dapat dibuat untuk pekerjaan tertentu yang berubah dalam waktu dan volume pekerjaan serta upah berdasarkan kehadiran, dengan ketentuan pekerja bekerja kurang dari 21 hari dalam 1 bulan. Jika pekerja bekerja 21 hari atau lebih selama 3 bulan berturut-turut atau lebih, perjanjian kerja harian menjadi PKWTT.",PP Nomor 35 Tahun 2021 Pasal 10,PP 35/2021,Pasal 10,harian; kurang dari 21 hari; 21 hari atau lebih; 3 bulan berturut-turut; menjadi PKWTT
Q05,PKWT,easy,"Dalam bentuk bahasa apa PKWT wajib dibuat, terutama ketika pekerjanya warga negara Indonesia?","PKWT wajib dibuat secara tertulis dengan huruf latin dan menggunakan bahasa Indonesia. Jika dibuat dalam bahasa Indonesia dan bahasa asing lalu terdapat perbedaan penafsiran, naskah bahasa Indonesia yang berlaku.",PP Nomor 35 Tahun 2021 Pasal 13,PP 35/2021,Pasal 13,tertulis; huruf latin; bahasa Indonesia; bahasa asing; penafsiran; bahasa Indonesia berlaku
Q06,Alih daya,medium,Apa syarat pokok perusahaan alih daya terkait bentuk badan usaha dan perizinan sebelum mempekerjakan pekerja alih daya?,Perusahaan alih daya wajib berbentuk badan hukum dan wajib memenuhi perizinan berusaha yang diterbitkan oleh pemerintah pusat sesuai ketentuan peraturan perundang-undangan.,PP Nomor 35 Tahun 2021 Pasal 20,PP 35/2021,Pasal 20,alih daya; badan hukum; perizinan berusaha; pemerintah pusat
Q07,Alih daya,medium,"Dalam hubungan kerja alih daya, siapa pihak yang bertanggung jawab atas perlindungan upah, kesejahteraan, syarat kerja, dan perselisihan pekerja?","Perlindungan pekerja, upah, kesejahteraan, syarat kerja, dan perselisihan yang timbul menjadi tanggung jawab perusahaan alih daya sebagai pemberi kerja pekerja alih daya.",PP Nomor 35 Tahun 2021 Pasal 18,PP 35/2021,Pasal 18,alih daya; perlindungan pekerja; upah; kesejahteraan; syarat kerja; tanggung jawab perusahaan alih daya
Q08,Waktu kerja,easy,Sebutkan dua pola waktu kerja yang diatur dalam PP 35 Tahun 2021 untuk 6 hari kerja dan 5 hari kerja dalam seminggu.,"Pola waktu kerja yang diatur adalah 7 jam sehari dan 40 jam seminggu untuk 6 hari kerja dalam seminggu, atau 8 jam sehari dan 40 jam seminggu untuk 5 hari kerja dalam seminggu.",PP Nomor 35 Tahun 2021 Pasal 21,PP 35/2021,Pasal 21,7 jam sehari; 40 jam seminggu; 6 hari kerja; 8 jam sehari; 5 hari kerja
Q09,Lembur,medium,Apa syarat utama yang harus ada sebelum pengusaha mempekerjakan pekerja melebihi waktu kerja normal?,Pengusaha yang mempekerjakan pekerja melebihi waktu kerja harus memenuhi syarat adanya persetujuan pekerja yang bersangkutan dan adanya perintah kerja lembur dari pengusaha.,PP Nomor 35 Tahun 2021 Pasal 28,PP 35/2021,Pasal 28,lembur; persetujuan pekerja; perintah kerja lembur; melebihi waktu kerja
Q10,PHK,medium,"Jika pekerja melanggar ketentuan perjanjian kerja atau peraturan perusahaan setelah diberi surat peringatan pertama, kedua, dan ketiga, hak PHK apa yang menjadi dasar jawabannya?","Untuk PHK karena pekerja melakukan pelanggaran setelah diberikan surat peringatan pertama, kedua, dan ketiga, pekerja berhak atas uang pesangon sebesar setengah kali ketentuan pesangon, uang penghargaan masa kerja sebesar satu kali ketentuan, dan uang penggantian hak.",PP Nomor 35 Tahun 2021 Pasal 52 ayat 1,PP 35/2021,Pasal 52 ayat 1,surat peringatan pertama; kedua; ketiga; setengah kali pesangon; satu kali uang penghargaan masa kerja; uang penggantian hak
